date_case,Confirmed,Recovered,Deaths
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,1,0,0
2020-02-25,1,0,0
2020-02-26,1,0,0
2020-02-27,1,0,0
2020-02-28,1,0,0
2020-02-29,1,0,0
2020-03-01,1,0,0
2020-03-02,1,0,0
2020-03-03,2,0,0
2020-03-04,4,0,0
2020-03-05,4,0,0
2020-03-06,4,0,0
2020-03-07,4,0,0
2020-03-08,5,0,0
2020-03-09,7,0,0
2020-03-10,8,0,0
2020-03-11,11,0,0
2020-03-12,12,0,0
2020-03-13,13,0,0
2020-03-14,15,0,0
2020-03-15,16,0,0
2020-03-16,18,1,0
2020-03-17,20,1,0
2020-03-18,24,1,0
2020-03-19,25,1,0
2020-03-20,29,1,0
2020-03-21,30,1,0
2020-03-22,34,1,1
2020-03-23,41,1,1
2020-03-24,43,1,1
2020-03-25,76,2,2
2020-03-26,80,2,3
2020-03-27,91,2,3
2020-03-28,107,2,4
2020-03-29,118,2,4
2020-03-30,146,2,4
2020-03-31,175,5,4
2020-04-01,197,5,4
2020-04-02,240,10,4
2020-04-03,275,10,8
2020-04-04,300,10,10
2020-04-05,338,15,12
2020-04-06,368,18,15
2020-04-07,424,18,16
2020-04-08,445,29,16
2020-04-09,485,32,17
2020-04-10,532,32,18
2020-04-11,556,32,18
2020-04-12,608,32,19
2020-04-13,666,32,22
2020-04-14,715,40,23
2020-04-15,785,43,29
2020-04-16,841,54,30
2020-04-17,907,99,30
2020-04-18,934,112,30
2020-04-19,997,131,33
2020-04-20,1027,135,36
2020-04-21,1093,150,36
2020-04-22,1177,166,40
2020-04-23,1236,179,40
2020-04-24,1331,188,43
2020-04-25,1464,188,47
2020-04-26,1532,207,52
2020-04-27,1704,220,58
2020-04-28,1830,228,59
2020-04-29,1940,252,61
2020-04-30,2127,260,64
2020-05-01,2291,310,68
2020-05-02,2470,331,72
2020-05-03,2705,345,85
2020-05-04,2895,397,90
2020-05-05,3225,421,95
2020-05-06,3393,458,104
2020-05-07,3564,468,106
2020-05-08,3781,472,109
2020-05-09,4042,502,115
2020-05-10,4403,558,120
2020-05-11,4687,558,122
2020-05-12,4968,610,127
2020-05-13,5227,648,132
2020-05-14,5640,691,136
2020-05-15,6054,745,153
2020-05-16,6403,745,168
2020-05-17,6665,778,170
2020-05-18,7073,801,173
2020-05-19,7654,850,178
2020-05-20,8146,930,188
2020-05-21,8677,938,194
2020-05-22,9219,996,206
2020-05-23,10001,1040,217
2020-05-24,10585,1075,219
2020-05-25,11176,1097,220
2020-05-26,11834,1128,221
2020-05-27,12459,1138,228
